Base de Dados,Autor(es),Título,País,Idioma,Ano de Publicação
Google Académico,Vivian Martins; Bruno Augusto Torres,Autoria de Desenhos Didáticos com Interfaces na Educação Online: Articulando web AVA e Aplicativos,Brasil,Português do Brasil,2018
Google Académico,Charlley dos Santos Luz,O Entorno Digital da Biblioteca Online: relação da interface e da usabilidade,Brasil,Português do Brasil,2018
Google Académico,Cristiano Maciel,Educação à Distância: Ambientes Virtuais de Aprendizagem,Brasil,Português do Brasil,2018
Google Académico,Nélia Pinheiro do Oval,O design digital na preservação da cultura imaterial: registo e divulgação da literatura oral algarvia,Portugal,Português,2018
Google Académico,Katja Kous; Maja Pusnik; Marjan Hericko; Gregor Polancic,Usability Evaluation of a Library Website with Different End User Groups,Eslóvenia,Inglês,2018
Repositório Uab,Ana Cláudia Gordo Polainas,"Criação, Desenvolvimento e Avaliação de um Sistema de Gestão de Aprendizagem para Formação Empresarial Online",Portugal,Português,2018
Google Académico,Priscila Teixeira Ferreira,Usabilidade em Bibliotecas Digitais: uma avaliação da biblioteca digital brasileira de teses e dissertações do IBICT e da biblioteca digital de teses e dissertações da USP,Brasil,Português do Brasil,2019
Google Académico,David Cruz Trigueira,Plataforma eLearning e Biblioteca Multimédia,Portugal,Português do Brasil,2019
Google Académico,Caroline Muglia; Elizabeth J. Kelly; Genya O’Gara; Ayla Stein; Santi Thompson; Liz Wolcott,How We Talk About Assessment: A New Framework for Digital Libraries,E.U.A.,Inglês,2019
Google Académico,Hossein Adabi Firozjah; Ali Jalali Dizaji,Usability Evaluation of Digital Libraries in Tehran Public Universities,Irão,Inglês,2019
Google Académico,"Solange Moura, Catarina D. Alves, Claudio Mario Nascimento e Francisco Carlos Reis",Interfaces do Desenho: Diálogos Interdisciplinares como Prática Pedagógica de Formação Discente e Docente no IFBA,Brasil,Português do Brasil,2019
Google Académico,Daniela Capri; Giorgio Gilwan da Silva,Avaliação da Usab-ilidade do Site da Biblioteca Pública do Estado de Santa Catarina,Brasil,Português do Brasil,2019
Google Académico,Fabricio Foresti,A Biblioteca e o Novo Paradigma Produtivo da Indústria 4.0,Brasil,Português do Brasil,2019
Google Académico,Andreza Lopes de Lima,Usabilidade como fator de avaliação em bibliotecas digitais: estudo de caso na Biblioteca Digital do Senado Federal,Brasil,Português do Brasil,2019
Google Académico,"Rendani Kruger, Jacques Brosens, Marie Hattingh",A methodology to compare the usability of information systems,África do Sul,Inglês,2020
Google Académico,Blessinger; Comeaux,User Experience with a New Public Interface for an Integrated Library System,,Inglês,2020
Repositório Aub,Mariano Pimentel; Denise Filippo; Thiago Marcondes dos Santos,Design Science Research: pesquisa científica atrelada ao design de artefatos,Brasil,Português do Brasil,2020
Google Académico,Tuany Maria Ribeiro Cirino,Avaliação de Usabilidade: um estudo a partir de experiências na plataforma digital de e-books “Minha Biblioteca”,Brasil,Português do Brasil,2021
Google Académico,Michelli Pereira da Costa; Janine Barcelos de Morais Silva; Marcel Garcia de Souza,Elementos Essenciais para uma Biblioteca Digital e a sua Aplicação na Biblioteca Digital sobre Agricultura Urbana,Brasil,Português do Brasil,2021
Google Académico,Franindya Purwaningtyas,Usability Evaluation of Library Information Systems Using The System Usability Scale,Indonésia,Inglês,2021
Google Académico,"Jamilah A. Alokluk, Aisha Al-Amri",Evaluation of a Digital Library: An Experimental Study,E.U.A.,Inglês,2021
Google Académico,Ana Beatriz Marques Silva,O uso do sistema de recuperação da informação da biblioteca digital mundial: um relato de experiência,Brasil,Português do Brasil,2021
Repositório Aub,Janaina Ávila Miranda de Melo,Metodologia para Elaboração de Website para um Laboratório de Investigação,Portugal,Português,2021
Google Académico,Luciana Lopes Freire,Método Integrado para Avaliação de Usabilidade em E-Learning,Portugal,Português,2022
Google Académico,Liliana Serra,"Fundamentações sobre Bibliotecas Virtuais, Digitais e Repositórios",Brasil,Português do Brasil,2022
Google Académico,Shumaila Iqbal; Naveed Ikram; Salma Imtiaz; Saima Imtiaz,"Maximizing coverage, reducing time: a usability evaluation method for web-based library systems",Paquistão,Inglês,2022
Google Académico,Maja Kuhar; Tanja Mercun,Exploring UX in Digital Libraries Through Questionnaire and Eye-tracking Data,Eslovénia,Inglês,2022
Google Académico,Joana Oliveira Novo,"Web Brutalism, Usabilidade e Inovação: A recusa do Canône e os Novos Discursos Estéticos no Web Design Contemporâneo",Portugal,Português,2023
Google Académico,H. Wajid Ali; N. Q. Mehmood; S. Z. Mahfooz; I. Ali.,Usability Evaluation of Online Digital Libraries of Educacional Institutions,Paquistão e Arábia Saudita,Inglês,2023
