Título,Autores,Ano De Publicação,Idioma,País
A Technique for User Experience Evaluation in e-Learning,Walter Takashi Nakamura,2018,Inglês,Brasil
Heritage User Experience Design: A journey driven simulation approach,Nada Nasser Said Al Subhi,2018,Inglês,Reino Unido
Early Phase of User Involvement to Validate the Minimum Viable Product: An Approach of Lean UX,Md Atikur Rahman,2019,Inglês,Finlândia
Supporting the Discoverability of Open Educational Resources,Renato Cortinovis; Alexander Mikroyannidis; John Domingue; Paul Mulholland; Robert Farrow,2020,Inglês,Reino Unido
An Exploration of the Usability of a Learning Management System: A case study of a Victorian prison,Renu Sabharwal,2020,Inglês,Austrália
A Methodology to Compare the Usability of Information Systems,Rendani Kruger; Jacques Brosens; Marie Hattingh,2020,Inglês,Suiça
USARP Method: Eliciting and Describing USAbility Requirement with Personas and User Stories,Gabriel F. de Oliveira Júnior; Bruna Ferreira; Anna Beatriz Marques,2020,Português do Brasil,Brasil
Artifact-based approach to improve internal process quality using interaction design principles,"Mircea Fulea, Melinda Kis, Diana Blagu, Bodgan Mocan",2021,Inglês,Roménia
Design Principles for Learning Analytics Information Systems in Higher Education,Andy Nguyen; Tuure Tuunanen; Lesley Gardner & Don Sheridan,2021,Inglês,Nova Zelândia
Internal Employees’ Perceptions and UX Design Utilization in Online Learning Development,Marja Ahola; Afnan Zafar; Jari Porras; Mirva Hyypi,2022,Inglês,Finlândia
What is the Impact of Usability in the Context of a Web Platform for Efficient Management of a Livestock Farm,João Santos; Arnaldo Santos,2021,Inglês,Portugal
Artifact-based Approach To Improve Internal Process Quality Using Interaction Design Principles,Mircea Fulea; Melinda Kis; Diana Blagu; Bogdan Mocan,2021,Inglês,Inglês
Self and Peer E-Assessment: A Study on Software Usability,Rosalina Rocha; Joana Rocha; Ricardo Fitas; Jarkko Suhonen; Markku Tukiainen,2021,Inglês,U.S.A.
Uma Investigação Acerca da Experiência do Utilizador em Sistemas Colaborativos Educacionais,Romualdo Azevedo; Alberto Castro; Bruno Gadelha,2022,Português,Portugal
Supporting the Retrieval of Open Educational Resources for Programming Education,William Simão de Deus; Ellen Francine Barbosa,2022,Inglês,Brasil
Co-evaluating a mobile educational tool artifact in Tanzanian Higher Education: Teacher’s and student’s perspectives on usability and user experience,Godfrey Isaac Mwandosya; Calkin Suero Montero; Esther Rosinner Mbise,2022,Inglês,Tanzania
"Co-working, co-learning and culture-co-creation of future tech lab in Namibia",Marko Lahti; Suvi Pãivikki Nenonen; Erkki Sutinen,2022,Inglês,Namíbia
Perancangan User Interface Dan User Experience Website “Syawall” Menggunakan Metode User-Centered Design: ,Praditya Agung Laksmana; Muhardi Saputra; Rahmat Fauzi,2022,Inglês,Indonésia
Improving Real Estate CRM User Experience and Satisfaction: A user-cantered design approach,Mariana Sobral Ferreira; João Antão; Ruben Pereira; Isaias Scalabrin Bianchi; Nataliya Tovma; Nursultan Shurenov,2023,Inglês,Reino Unido
Uma Arquitectura para Sistemas de Recomendação de Música Baseado em Contexto da Interação e Experiência do Usuário,Willian Garcias de Assunção,2023,Português do Brasil,Brasil
Involving Users in the Development of a Modelling Language for Customer Journeys,Ragnhild Halvorsrud; Odnan Ref Sanchez; Costas Boletsis; Marita Skjuve,2023,Inglês,Noruega
O impacto da usabilidade no contexto de uma plataforma web para a gestão eficiente de uma agropecuária,João Carlos Matias Santos,2024,Português,Portugal
Metodologia DSR na Elaboração de Artefatos Simuladores,Wladimyr Mattos Albano; Cristina Maria Carvalho Delou,2023,Português do Brasil,Brasil
Design da Interface e Experiência do Usuário (UI/UX) do Novo Site do Sistema Eureka IMT,Isabella Augusta Rodrigues; Ana Paula Scabello Mello,2023,Português do Brasil,Brasil
